Country.Name,Region,Final Cluster,Idealpoint,me,nu,di,hr,co,ec,ps,af,sc,sp,un,int,bu,pc
Cambodia,SEA,C2,-0.380553558,0.176042848,0.112193127,0.139933703,0.140407729,0.164626222,0.074200388,0.115277558,0.033811769,0.008572732,0.018197011,0.024137002,0.021503796,0.014379589,0.019367509
Cameroon,M.AF,C2,-0.159960587,0.127963901,0.134731553,0.167896904,0.126990995,0.14521683,0.076254065,0.095819283,0.019498095,0.009447812,0.016432638,0.029040182,0.025990004,0.019810893,0.023940245
Central African Republic,M.AF,C2,-0.02207547,0.141744594,0.113200779,0.135104158,0.14803639,0.14766421,0.077028549,0.125778438,0.02399839,0.010124266,0.020954532,0.027882922,0.029280939,0.021482118,0.026442342
Chad,M.AF,C2,-0.396572332,0.178024619,0.113568116,0.134051254,0.15215016,0.152381086,0.125441185,0.110621944,0.020555604,0.00928131,0.01943308,0.03095015,0.029258876,0.020115358,0.02262831
Congo,M.AF,C2,-0.676545782,0.171533801,0.136242463,0.163459149,0.148484245,0.160220545,0.080107316,0.089772006,0.018303554,0.008884862,0.013256014,0.024286801,0.026200258,0.017799526,0.026107237
Cyprus,W.AS,C2,0.075096866,0.197224822,0.099788628,0.126347798,0.113001553,0.154238749,0.068374457,0.108441315,0.020726461,0.008679351,0.019064283,0.027674142,0.025184049,0.020122764,0.023141264
Democratic Republic of the Congo,M.AF,C2,-0.208113608,0.119072183,0.121165654,0.146059043,0.142768626,0.128050473,0.107654906,0.101132771,0.022904286,0.00917535,0.016930393,0.025011042,0.025868749,0.020005135,0.020978022
Gabon,M.AF,C2,-0.189617074,0.189435716,0.131828784,0.158999439,0.155788952,0.149064074,0.076751466,0.094744742,0.020824901,0.009024529,0.018084843,0.025095858,0.025379496,0.019620448,0.024005906
Ghana,W.AF,C2,-0.470587592,0.174078227,0.13822126,0.162498273,0.137364732,0.159780598,0.076149137,0.117369876,0.021388221,0.008045863,0.01897559,0.026773879,0.026152959,0.018953982,0.021856486
Guinea,W.AF,C2,-0.811917027,0.195029638,0.130787478,0.154498654,0.140809411,0.176074517,0.076439672,0.092844763,0.021113318,0.008659137,0.014987615,0.024631911,0.027735927,0.019473053,0.020315333
Indonesia,SEA,C2,-0.70695088,0.177292739,0.119203027,0.137054506,0.124119964,0.164681062,0.071766005,0.117649225,0.0224049,0.009950183,0.020240801,0.024094814,0.025890581,0.016892165,0.021527601
Ivory Coast,W.AF,C2,0.074411704,0.141940705,0.132050837,0.163248449,0.122471064,0.139102441,0.067767245,0.094188375,0.01890776,0.006969898,0.015801214,0.02631523,0.022792725,0.019852898,0.025587282
Jamaica,CAR,C2,-0.084644197,0.182279352,0.140685761,0.169295585,0.154077947,0.159324536,0.082481411,0.102701393,0.02131709,0.007658746,0.016043761,0.028622881,0.026465994,0.019863519,0.02365742
Jordan,W.AS,C2,-0.553723974,0.19279189,0.134012816,0.155687388,0.136972628,0.160122849,0.074211419,0.103578862,0.021758113,0.007575778,0.018275624,0.024585097,0.022391047,0.017799258,0.021165502
Kenya,E.AF,C2,-0.340183695,0.183108631,0.139837971,0.170551537,0.155701102,0.171181262,0.092541612,0.089788426,0.020537532,0.007792835,0.014375741,0.030238065,0.027470024,0.021207068,0.023173182
Kuwait,W.AS,C2,-0.663183658,0.221346064,0.145851529,0.168351947,0.154135824,0.170641195,0.078843164,0.095884871,0.02017664,0.008144721,0.015966004,0.030867465,0.029273801,0.019086688,0.024922958
Laos,SEA,C2,-0.597619137,0.193967108,0.127906814,0.139346798,0.132537529,0.15809811,0.076353644,0.111580402,0.022656056,0.008868211,0.015657338,0.020993768,0.02260937,0.016602856,0.023350503
Libya,N.AF,C2,-1.032015472,0.188501206,0.135173365,0.148656861,0.12917464,0.166564729,0.076023693,0.108237675,0.022064375,0.008006634,0.016774197,0.023509509,0.02438015,0.018369415,0.022067222
Madagascar,E.AF,C2,-0.386241996,0.16309918,0.144753137,0.175030596,0.14230157,0.157889596,0.086500383,0.101011593,0.020476356,0.009052875,0.017711403,0.02927631,0.026719385,0.019555947,0.021864037
Malaysia,SEA,C2,-0.337789106,0.192274701,0.137012589,0.159240107,0.127195131,0.159129498,0.077231965,0.113488954,0.024197358,0.007855801,0.018955206,0.027163248,0.026562901,0.018844973,0.025194097
Mali,W.AF,C2,-0.77218577,0.201058717,0.137123247,0.166175767,0.148462164,0.169685718,0.078444788,0.094933689,0.021928245,0.00880189,0.016306838,0.026900636,0.028089886,0.019390653,0.020933077
Mauritania,W.AF,C2,-0.682962436,0.215829522,0.127661664,0.151702462,0.152477151,0.173400564,0.07756591,0.097626889,0.019898233,0.008205658,0.017009901,0.027894608,0.027810952,0.020742488,0.021180368
